company_imo,company_name,address,jurisdiction
5731768,RECHMORTRANS LTD,"Ofis 418, Dom 67V/2B, ul Zakrutkina Rostov-na- Donu, 344019, Russia.",Russia
6021144,DONNEFTETRANS LTD,"Ofis 417, Dom 67V/2B, ul Zakrutkina Rostov-na- Donu, 344019, Russia.",Russia
5947073,MORFLOT LLC,"Office 1256, ul Bolshaya Sadovaya 188A, Rostov-na- Donu, 344022, Russia.",Russia
5659333,YARBUNKER LLC,"ploshchad Torgovaya 11, Yaroslavl, 150006, Russia.",Russia
6072379,SC YARBUNKER LLC,"ploshchad Torgovaya 11, Yaroslavl, 150006, Russia.",Russia
5327250,TRANS-FLOT JSC,"Apartment Ventseka 1/97, ul M Gorkogo Samara, 443099, Russia.",Russia
4234210,STAKSEL CO LTD,"Room 1, ul M Gorkogo 78B, Samara, 443099, Russia.",Russia
6240580,GRIGORIEVNA RT,"Room 61, ul Belorusskaya 61, Samara, Russia.",Russia
5563968,NAYADA CO LTD,"Room 708, ul Portovaya 3, Nakhodka, Primorskiy kray, 692900, Russia.",Russia
5138401,NNK-KAMCHATNEFTEPRODUKT JSC,"ul Kosmonavtov 1, Petropavlovsk-Kamchatskiy, Kamchatskiy kray, 683905, Russia.",Russia
6433370,NNK-BUNKER LLC,"ul Fontannaya 55, Vladivostok, Primorskiy kray, 690091, Russia.",Russia
1739661,FORTUNE TANKER JSC,"ul Rikhard Zorge 42A, Vladimiro-Aleksandrovskoye, Partizanskiy r-n, Primorskiy kray, 692962, Russia.",Russia
5021637,STUKITA SHIPPING CO LTD,"1st Floor, Asty Chambers, 33, Agias Zonis Street, 3027, Limassol, Cyprus.",Cyprus
6366674,SALIMAR LTD,"Trust Company Complex, Ajeltake Road, Ajeltake, Majuro MH 96960, Marshall Islands.",Marshall Islands
5545171,DILMAS CO LTD,"ul Pogranichnaya 72, Nakhodka, Primorskiy kray, 692910, Russia.",Russia
5346458,TRAVELER SHIPPING LTD,"Promzona Zarechnaya, ul Lugovaya 3B, Rostov-na- Donu, 344002, Russia.",Russia
5551231,PETROPAVLOVSK- KAMCHATSKIY,"Office 237, ul Gagarina 10, Nakhodka, Primorskiy kray, 692903, Russia.",Russia
6171211,GMU PTE LTD,"Petropavlovsk-Kamchatskiy Shipping Co Office 237, ul Gagarina 10, Nakhodka, Primorskiy kray, 692903, Russia.",Russia
5700831,VALKUR LLC,"Kabinet 303, 3rd Floor, Building 1, ul Ekipazhnaya Vladivostok, Primorskiy kray, 690091, Russia.",Russia
5689381,OPAIR INTERNATIONAL CORP,"LLC Valkur Kabinet 303, 3rd Floor, Building 1, ul Ekipazhnaya Vladivostok, Primorskiy kray, 690091, Russia.",Russia
5725702,IGWT PTE LTD,"15-01, 9, Raffles Place, Singapore 048619",Singapore
555505,AMUR SHIPPING CO JSC,"ul Muravyova-Amurskogo 2, Khabarovsk, 680000, Russia.",Russia
4239547,TRINITY SHIPPING LLC- RUS,"Office 4N, Liter A, House 2, ul 3-ya Liniya 1-y Poloviny St Petersburg, 197341, Russia.",Russia
9991942,RPTD SOLD UNDISCLOSED INTEREST,Unknown,
1673835,ISARSTERN,"Blinke 4, 26789, Leer, Germany.",Germany
5901309,MORSKOY STANDART- BUNKER LLC,"Room 1, ul Toporkova 9/6, Petropavlovsk- Kamchatskiy, Kamchatskiy kray, 683031, Russia.",Russia
6403543,AMAZING VIEW SHIPMANAGEMENT,"A2, Matha Road, Colombo, 00800, Sri Lanka.",Sri Lanka
6182397,TYMPHI ENTERPRISES LTD,Majuro MH Marshall Islands.,Marshall Islands
6416195,COOL WIND MARINE LTD,"Suite 10, 3rd Floor, La Ciotat, Mont Fleuri, Mahe Island Seychelles.",Seychelles
6197743,GLOBAL TECH MARINE SERVICES,"Office 101B, The Sunrise Building, 2, Al Safa Street, Sheikh Zayed Road, Dubai, United Arab Emirates.",United Arab Emirates
5466702,PRAYATI SHIPPING PVT LTD,"Room 407, Jolly Bhavan 2, 7, New Marine Lines, Mumbai, 400020, India.",India
5924853,MINAKO MARINE SERVICES LLC,"Office 118, Al Asmawi Building, near Equiti Metro Station, Sheikh Zayed Road, Dubai, United Arab Emirates.",United Arab Emirates
5022374,SEVEN ISLANDS SHIPPING LTD,"Suite 3A,3B & 4, Level 8, B Wing, Times Square, Andheri-Kurla Road, Andheri (E), Mumbai, 400059, India.",India
6302069,KSN SHIPMANAGEMENT SRL,"Strada Gheorghe Asachi 44, MD-2028, Chisinau, Moldova.",Moldova
6402580,FIRST LIGHT MARINE CORP,"Suite 10, 3rd Floor, La Ciotat, Mont Fleuri, Mahe Island Seychelles.",Seychelles
6431431,TECHNAV SHIPMANAGEMENT CORP,"Kararalskaya kacesi 74, Almaty, Kazakhstan.",Kazakhstan
6510814,VIRTUE NAVIS SHIPMANAGEMENT,"Apt 2, Zhandosov kacesi 30, Almaty, 050057, Kazakhstan.",Kazakhstan
5598398,MJL BANGLADESH LTD,"CWS C 9, Mobil House, 1, Gulshan Avenue, Gulshan, Dhaka, 1212, Bangladesh.",Bangladesh
6437271,CRYSTAL CREST CORP,"Suite 10, 3rd Floor, La Ciotat, Mont Fleuri, Mahe Island Seychelles.",Seychelles
6510831,ERST GROUP LTD,"Suite 10, 3rd Floor, La Ciotat, Mont Fleuri, Mahe Island Seychelles.",Seychelles
6067784,KAMCHATSKAYA NEFTEBAZA LLC,"ul Ozernovskaya Kosa 17, Petropavlovsk- Kamchatskiy, Kamchatskiy kray, 683980, Russia.",Russia
5814574,BRAMS-BUNKER LLC,"ul Leninskaya 36, Petropavlovsk-Kamchatskiy, Kamchatskiy kray, 683000, Russia.",Russia
339979,DESGAGNES TRANSPORT INC,"21, rue du Marche-Champlain, Quebec QC G1K 8Z8, Canada.",Canada
6152659,GOLDEN CENTRE TRADING LTD,"Level 8, Admiralty Center Tower, 2, Harcourt Road, Central, Hong Kong, China.",China
1533455,ALTERA INFRASTRUCTURE NORWAY,"Badehusgata 37, 4014, Stavanger, Norway.",Norway
6463728,AQUALINK SHIPMANAGEMENT CORP,"Apartment 5, ul Zhastar 8, Almaty, Kazakhstan.",Kazakhstan
5211348,ALTERA SHUTTLE LOADING PTE LTD,"15-101, MYP Centre, 9, Battery Road, Singapore 049910",Singapore
6437311,ELYSIAN HORIZON CORP,"Suite 10, 3rd Floor, La Ciotat, Mont Fleuri, Mahe Island Seychelles.",Seychelles
5806181,ROSWELL ARCTIC LLC,"Lit A, Office 302B, ul 6-ya Krasnoarmeyskaya 5-7, St Petersburg, 190005, Russia.",Russia
6295389,RP-SHIPPING LLC,"Office 809, ul Lenina 82, Murmansk, 183038, Russia.",Russia
6317123,BSM MARINE LLP,"Office 20, Ground Floor, Augusta Point, DLF Golf Course Road, Sector 53, Gurugram, Haryana, India.",India
6370230,DR MARINE SERVICES LTD,"4th Floor, Megamall Tower, al-Bu Daniq, Sharjah, United Arab Emirates.",United Arab Emirates
5888418,NOUNOU MARINE LTD,"Eastern Mediterranean Maritime Ltd (EASTMED) 69, Grigoriou Lampraki Street, Glyfada, 166 75, Athens, Greece.",Greece
6341738,DP SHIPPING LTD,"Trust Company Complex, Ajeltake Road, Ajeltake, Majuro MH 96960, Marshall Islands.",Marshall Islands
6001610,PRISCO TANKERS OOO,"Room 104, Administrativnyy Gorodok, 5, Nakhodka, Primorskiy kray, 692904, Russia.",Russia
6003899,SEALIFE DENIZCILIK LTD STI,"Blok A, Gemi Yan Sanayi Sitesi, Comert Sokagi 15, Evliya Celebi Mah, Tuzla, 34944, Istanbul, Turkey.",Turkey
6015786,PA EASTERN SEAS SHIPPING LTD,"Limassol, Cyprus.",Cyprus
6300195,PA NAVIGATION LTD,"80, Broad Street, Monrovia, Liberia.",Liberia
6360074,SEALIFE SHIPPING LTD,"Sealife Denizcilik Ltd Sti Blok A, Gemi Yan Sanayi Sitesi, Comert Sokagi 15, Evliya Celebi Mah, Tuzla, 34944, Istanbul, Turkey.",Turkey
6244579,STELLAR OCEAN LTD,"Room 808B, 329, Hengfeng Lu, Jing'an Qu, Shanghai, 200070, China.",China
6230685,ZAMBRA SHIPPING GROUP LTD,"Stellar Ocean Ltd Room 20, 7th Floor, Block B3, Tuen Mun Industrial Centre, 2, San Ping Circuit, Hong Kong, China.",China
5137597,NEW SHIPPING LTD-LIB,"57A, Poseidonos Avenue, Moschato, 183 44, Piraeus, Greece.",Greece
1184960,TRANSPETRO,"Avenida Presidente Vargas 328, Centro, Rio de Janeiro RJ, 20091-060, Brazil.",Brazil
6330234,FTL SHIPMANAGEMENT CO LTD,"prospekt Ilia Chavchavadze 83, 0162, Tbilisi, Georgia.",Georgia
5660411,TRANSPETRO INTERNATIONAL BV,"9th Floor, Weena 762, 3014 DA, Rotterdam, Netherlands.",Netherlands
6331144,SORNI SHIPPING CO LTD,"Suite 10, 3rd Floor, La Ciotat, Mont Fleuri, Victoria, Mahe Island, Seychelles.",Seychelles
6404317,SHORE SHIPPING INC,"GR Shipping Pte Ltd 09-02A, The Adelphi, 1, Coleman Street, Singapore 179803",Singapore
