imo,vessel_name,tanker_size,buildyear,crude_total,months_uninsured,products_total,start_date,end_date,earliest_sanction_date,ownership_changes_after_2022,ownership_jurisdictions_after_2022,shipmanager_changes_after_2022,shipmanager_jurisdictions_after_2022,ism_manager_changes_after_2022,ism_manager_jurisdictions_after_2022,detentions,detentions_after_2022,deficiencies,deficiencies_after_2022,names_after_2022,name_changes_after_2022,flags_after_2022,flag_changes_after_2022,ais_gaps,ais_gap_total_hours,ais_gaps_after_2022,ais_gap_total_hours_after_2022,RUS_port_visits_after_2022,RUS_port_visits_before_2022,TUR_port_visits_after_2022,TUR_port_visits_before_2022,IND_port_visits_after_2022,IND_port_visits_before_2022,loitering_events_before_2022,loitering_events_after_2022,sts_events
9610810,Viktor Bakaev,Aframax,2013,2.9,4,0.0,2023-03-01,2023-10-31,2023-12-01,1,Russia,5,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, Russia",5,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, Russia",0,0,10,0,,0,Russia,1,0,0,0,0,23,28,6,1,10,0,71,11,0
9299719,Ns Champion,Aframax,2005,2.16,3,0.0,2023-04-01,2023-08-31,2023-12-01,2,"United Arab Emirates, Russia",5,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, Russia",7,"United Arab Emirates, Russia, Unknown, United Arab Emirates, Russia, Unknown, Russia",0,0,30,1,KOTLAS,1,Russia,1,4,455,0,0,23,11,4,11,8,0,73,50,6
9258002,Kazan,Aframax,2003,1.35,2,0.0,2023-02-01,2023-04-30,2024-01-16,1,Russia,5,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, Russia",5,"United Arab Emirates, Russia, Unknown, United Arab Emirates, Russia",0,0,33,0,,0,Russia,1,2,26,0,0,12,20,0,4,9,0,150,61,10
9256066,Ligovsky Prospect,Aframax,2003,0.73,1,0.6,2023-02-01,2023-04-30,2024-01-16,2,"Liberia, Russia",5,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, Russia",5,"United Arab Emirates, Russia, Unknown, United Arab Emirates, Russia",0,0,32,0,,0,Russia,1,0,0,0,0,28,68,2,23,8,0,97,87,3
9306782,Ns Century,Aframax,2006,1.44,2,0.0,2023-02-01,2023-04-30,2024-01-16,1,Russia,5,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, Russia",6,"United Arab Emirates, Russia, United Arab Emirates, Unknown, United Arab Emirates, Russia",0,0,31,1,KARELIYA,1,Russia,1,3,109,0,0,15,13,0,12,10,0,53,114,8
9299745,Hs Arge,Aframax,2006,,5,3.1999999999999997,2023-04-01,2023-12-31,2024-01-18,3,"Marshall Islands, Liberia, United Arab Emirates",3,"Unknown, Liberia, United Arab Emirates",3,"Unknown, India, Unknown",1,1,29,3,"Hs Arge, APUS",2,"Liberia, Eswatini FALSE",2,2,82,0,0,7,5,3,3,0,3,65,89,52
9410894,Hs Esberg,Aframax,2009,12.07,11,0.0,2023-01-01,2023-12-31,2024-01-18,2,"Marshall Islands, Liberia",2,"Denmark, Liberia",3,"China, India, Unknown",1,1,24,4,"Hs Esberg, VALOUR",2,"Liberia, Not Known, Guinea False",3,0,0,0,0,20,10,0,0,0,0,104,145,6
9410870,Hs Everett,Aframax,2008,1.46,2,2.4,2023-02-01,2023-12-31,2024-01-18,2,"Marshall Islands, Liberia",2,"Denmark, Liberia",4,"China, India, Unknown, Unknown",0,0,11,2,HS EVERETT,1,"Liberia, Not Known",2,0,0,0,0,8,0,14,0,10,4,68,55,12
9314818,Mona,Seawaymax,2006,,4,0.8,2023-01-01,2024-01-31,2024-01-18,2,"Cyprus, Liberia",2,"Denmark, Liberia",4,"Cyprus, India, India, Unknown",0,0,37,6,MONA,1,"Liberia, Not Known",2,2,86,0,0,28,21,39,5,0,0,34,153,5
9327413,Aristo,Seawaymax,2006,,4,0.7000000000000001,2023-05-01,2024-01-31,2024-01-18,3,"Marshall Islands, Liberia, Mauritius",3,"Greece, India, Mauritius",4,"Greece, Unknown, India, Unknown",1,0,41,8,ARISTO,1,"Liberia, Not Known",2,0,0,0,0,18,6,28,16,0,15,19,47,10
