date,imo,description,type
2022-02-23,9171735,Vessel HAMSI exited JOHOR,possible_sts_start
2022-06-27,9171735,Vessel HAMSI exited JOHOR,possible_sts_end
2023-02-18,9354521,Vessel ANHONA exited MALTA,possible_sts_start
2024-06-23,9354521,Vessel ANHONA exited MALTA,possible_sts_end
2023-02-17,9354521,Vessel ANHONA exited MALTA,possible_sts_start
2024-06-06,9354521,Vessel ANHONA exited MALTA,possible_sts_end
2023-04-14,9354521,Vessel ANHONA exited MALTA,possible_sts_start
2023-08-01,9354521,Vessel ANHONA exited MALTA,possible_sts_end
2023-07-21,9354521,Vessel ANHONA exited MALTA,possible_sts_start
2023-08-02,9354521,Vessel ANHONA exited MALTA,possible_sts_end
2024-06-08,9354521,Vessel ANHONA exited MALTA,possible_sts_start
2024-06-15,9354521,Vessel ANHONA exited MALTA,possible_sts_end
2023-02-19,9354521,Vessel ANHONA exited MALTA,possible_sts_start
2024-05-08,9354521,Vessel ANHONA exited MALTA,possible_sts_end
2023-04-01,9131357,Vessel ORION exited JOHOR,possible_sts_start
2024-01-08,9131357,Vessel ORION exited JOHOR,possible_sts_end
2023-04-27,9131357,Vessel ORION exited JOHOR,possible_sts_start
2024-01-02,9131357,Vessel ORION exited JOHOR,possible_sts_end
2022-07-18,9131357,Vessel ORION exited JOHOR,possible_sts_start
2023-10-21,9131357,Vessel ORION exited JOHOR,possible_sts_end
2022-06-20,9131357,Vessel ORION exited JOHOR,possible_sts_start
2023-10-12,9131357,Vessel ORION exited JOHOR,possible_sts_end
2023-04-26,9131357,Vessel ORION exited JOHOR,possible_sts_start
2023-04-27,9131357,Vessel ORION exited JOHOR,possible_sts_end
2023-03-05,9131357,Vessel ORION exited MALTA,possible_sts_start
2023-05-22,9131357,Vessel ORION exited MALTA,possible_sts_end
2022-12-19,9231509,Vessel TREND exited JOHOR,possible_sts_start
2023-08-16,9231509,Vessel TREND exited JOHOR,possible_sts_end
2023-02-18,9231509,Vessel TREND exited JOHOR,possible_sts_start
2024-01-24,9231509,Vessel TREND exited JOHOR,possible_sts_end
2024-01-24,9231509,Vessel TREND exited JOHOR,possible_sts_start
2024-07-19,9231509,Vessel TREND exited JOHOR,possible_sts_end
2024-05-02,9231509,Vessel TREND exited LACONIA,possible_sts_start
2024-06-12,9231509,Vessel TREND exited LACONIA,possible_sts_end
2024-04-23,9231509,Vessel TREND exited LACONIA,possible_sts_start
2024-06-16,9231509,Vessel TREND exited LACONIA,possible_sts_end
2023-05-20,9183295,Vessel NEON exited JOHOR,possible_sts_start
2023-07-16,9183295,Vessel NEON exited JOHOR,possible_sts_end
2023-05-30,9183295,Vessel NEON exited JOHOR,possible_sts_start
2024-01-13,9183295,Vessel NEON exited JOHOR,possible_sts_end
2023-09-18,9183295,Vessel NEON exited MALTA,possible_sts_start
2024-04-18,9183295,Vessel NEON exited MALTA,possible_sts_end
2022-09-14,9843560,Vessel VERNADSKYPROSPECT exited JOHOR,possible_sts_start
2023-01-04,9843560,Vessel VERNADSKYPROSPECT exited LACONIA,possible_sts_end
2023-01-04,9843560,Vessel VERNADSKYPROSPECT exited LACONIA,possible_sts_start
2023-02-05,9843560,Vessel VERNADSKYPROSPECT exited LACONIA,possible_sts_end
2023-04-10,9380673,Vessel NIPPONPRINCESS exited JOHOR,possible_sts_start
2023-04-29,9380673,Vessel NIPPONPRINCESS exited JOHOR,possible_sts_end
2023-04-08,9380673,Vessel NIPPONPRINCESS exited JOHOR,possible_sts_start
2023-04-26,9380673,Vessel NIPPONPRINCESS exited JOHOR,possible_sts_end
2023-03-31,9380673,Vessel NIPPONPRINCESS exited JOHOR,possible_sts_start
2023-04-22,9380673,Vessel NIPPONPRINCESS exited JOHOR,possible_sts_end
2023-05-19,9289752,Vessel ARIADNE exited LOME,possible_sts_start
2023-05-19,9292967,Vessel ARIADNE exited LOME,possible_sts_start
2023-07-03,9289752,Vessel ARIADNE exited LOME,possible_sts_end
2023-07-03,9292967,Vessel ARIADNE exited LOME,possible_sts_end
2023-07-03,9289752,Vessel ARIADNE exited LOME,possible_sts_start
2023-07-03,9292967,Vessel ARIADNE exited LOME,possible_sts_start
2023-07-16,9289752,Vessel ARIADNE exited LOME,possible_sts_end
2023-07-16,9292967,Vessel ARIADNE exited LOME,possible_sts_end
2023-05-05,9289752,Vessel ARIADNE exited LOME,possible_sts_start
2023-05-05,9292967,Vessel ARIADNE exited LOME,possible_sts_start
2023-05-19,9289752,Vessel ARIADNE exited LOME,possible_sts_end
2023-05-19,9292967,Vessel ARIADNE exited LOME,possible_sts_end
2023-05-04,9289752,Vessel ARIADNE exited LOME,possible_sts_start
2023-05-04,9292967,Vessel ARIADNE exited LOME,possible_sts_start
2023-07-15,9289752,Vessel ARIADNE exited LOME,possible_sts_end
2023-07-15,9292967,Vessel ARIADNE exited LOME,possible_sts_end
2023-04-12,9289752,Vessel ARIADNE exited LOME,possible_sts_start
2023-04-12,9292967,Vessel ARIADNE exited LOME,possible_sts_start
2023-04-22,9289752,Vessel ARIADNE exited LOME,possible_sts_end
2023-04-22,9292967,Vessel ARIADNE exited LOME,possible_sts_end
2023-04-18,9289752,Vessel ARIADNE exited LOME,possible_sts_start
2023-04-18,9292967,Vessel ARIADNE exited LOME,possible_sts_start
2023-05-01,9289752,Vessel ARIADNE exited LOME,possible_sts_end
2023-05-01,9292967,Vessel ARIADNE exited LOME,possible_sts_end
2023-04-16,9289752,Vessel ARIADNE exited LOME,possible_sts_start
2023-04-16,9292967,Vessel ARIADNE exited LOME,possible_sts_start
2023-04-29,9289752,Vessel ARIADNE exited LOME,possible_sts_end
2023-04-29,9292967,Vessel ARIADNE exited LOME,possible_sts_end
2023-09-08,9289752,Vessel ARIADNE exited LACONIA,possible_sts_start
2023-09-08,9292967,Vessel ARIADNE exited LACONIA,possible_sts_start
2023-12-20,9289752,Vessel ARIADNE exited MALTA,possible_sts_end
2023-12-20,9292967,Vessel ARIADNE exited MALTA,possible_sts_end
2023-08-09,9289752,Vessel ARIADNE exited LACONIA,possible_sts_start
2023-08-09,9292967,Vessel ARIADNE exited LACONIA,possible_sts_start
2023-11-28,9289752,Vessel ARIADNE exited LACONIA,possible_sts_end
2023-11-28,9292967,Vessel ARIADNE exited LACONIA,possible_sts_end
2023-11-28,9289752,Vessel ARIADNE exited LACONIA,possible_sts_start
2023-11-28,9292967,Vessel ARIADNE exited LACONIA,possible_sts_start
2024-07-14,9289752,Vessel ARIADNE exited LACONIA,possible_sts_end
2024-07-14,9292967,Vessel ARIADNE exited LACONIA,possible_sts_end
2024-04-14,9289752,Vessel ARIADNE exited LACONIA,possible_sts_start
2024-04-14,9292967,Vessel ARIADNE exited LACONIA,possible_sts_start
2024-07-10,9289752,Vessel ARIADNE exited LACONIA,possible_sts_end
2024-07-10,9292967,Vessel ARIADNE exited LACONIA,possible_sts_end
2023-09-11,9289752,Vessel ARIADNE exited LACONIA,possible_sts_start
2023-09-11,9292967,Vessel ARIADNE exited LACONIA,possible_sts_start
2024-04-10,9289752,Vessel ARIADNE exited LACONIA,possible_sts_end
2024-04-10,9292967,Vessel ARIADNE exited LACONIA,possible_sts_end
2023-09-23,9289752,Vessel ARIADNE exited LACONIA,possible_sts_start
2023-09-23,9292967,Vessel ARIADNE exited LACONIA,possible_sts_start
2023-11-26,9289752,Vessel ARIADNE exited LACONIA,possible_sts_end
2023-11-26,9292967,Vessel ARIADNE exited LACONIA,possible_sts_end
2023-11-27,9289752,Vessel ARIADNE exited LACONIA,possible_sts_start
2023-11-27,9292967,Vessel ARIADNE exited LACONIA,possible_sts_start
2024-04-11,9289752,Vessel ARIADNE exited LACONIA,possible_sts_end
2024-04-11,9292967,Vessel ARIADNE exited LACONIA,possible_sts_end
2023-08-12,9289752,Vessel ARIADNE exited LACONIA,possible_sts_start
2023-08-12,9292967,Vessel ARIADNE exited LACONIA,possible_sts_start
2024-04-12,9289752,Vessel ARIADNE exited LACONIA,possible_sts_end
2024-04-12,9292967,Vessel ARIADNE exited LACONIA,possible_sts_end
2023-09-15,9289752,Vessel ARIADNE exited LACONIA,possible_sts_start
2023-09-15,9292967,Vessel ARIADNE exited LACONIA,possible_sts_start
2023-11-25,9289752,Vessel ARIADNE exited LACONIA,possible_sts_end
2023-11-25,9292967,Vessel ARIADNE exited LACONIA,possible_sts_end
2023-05-06,9296406,Vessel PAGOS exited MALTA,possible_sts_start
2024-09-02,9296406,Vessel PAGOS exited JOHOR,possible_sts_end
2024-04-02,9296406,Vessel PAGOS exited LACONIA,possible_sts_start
2024-08-06,9296406,Vessel PAGOS exited LACONIA,possible_sts_end
2023-12-28,9296406,Vessel PAGOS exited LACONIA,possible_sts_start
2024-08-08,9296406,Vessel PAGOS exited LACONIA,possible_sts_end
2024-02-05,9296406,Vessel PAGOS exited LACONIA,possible_sts_start
2024-08-07,9296406,Vessel PAGOS exited LACONIA,possible_sts_end
2024-02-04,9296406,Vessel PAGOS exited LACONIA,possible_sts_start
2024-02-09,9296406,Vessel PAGOS exited LACONIA,possible_sts_end
2022-09-06,9332028,Vessel JOKARI exited JOHOR,possible_sts_start
2022-09-08,9332028,Vessel JOKARI exited JOHOR,possible_sts_end
2022-07-30,9332028,Vessel JOKARI exited JOHOR,possible_sts_start
