vessel_imo,start_date,end_date
8727941,2023-05-01,2024-05-31
8727953,2023-01-01,2023-10-31
8727965,2023-01-01,2024-02-29
8867179,2023-05-01,2024-02-29
8906951,2023-02-01,2024-06-30
8914855,2023-04-01,2023-04-30
9004310,2023-05-01,2023-10-31
9016870,2024-04-01,2024-04-30
9017666,2023-04-01,2023-04-30
9035541,2024-01-01,2024-04-30
9040077,2023-02-01,2023-06-30
9046576,2023-02-01,2024-02-29
9056571,2023-11-01,2023-11-30
9063732,2023-09-01,2023-12-31
9104782,2024-02-01,2024-02-29
9105140,2023-01-01,2024-05-31
9114751,2024-04-01,2024-04-30
9131357,2023-02-01,2024-05-31
9131357,2023-02-01,2024-05-31
9133587,2024-04-01,2024-04-30
9137648,2024-03-01,2024-06-30
9137648,2024-03-01,2024-06-30
9144782,2023-01-01,2024-05-31
9144782,2023-01-01,2024-05-31
9163752,2023-04-01,2024-03-31
9166314,2024-06-01,2024-06-30
9168946,2023-04-01,2024-05-31
9171175,2023-01-01,2024-06-30
9171357,2023-05-01,2023-05-31
9171735,2023-10-01,2023-10-31
9175078,2024-05-01,2024-06-30
9183271,2023-01-01,2023-05-31
9183295,2023-05-01,2024-02-29
9183295,2023-05-01,2024-02-29
9183831,2024-06-01,2024-06-30
9185528,2023-03-01,2024-04-30
9186625,2023-05-01,2023-05-31
9187227,2023-01-01,2024-03-31
9189146,2024-03-01,2024-06-30
9189146,2024-03-01,2024-06-30
9194012,2024-02-01,2024-02-29
9194983,2024-04-01,2024-04-30
9194995,2023-02-01,2023-11-30
9198290,2023-07-01,2024-06-30
9198783,2023-10-01,2023-11-30
9199713,2023-12-01,2023-12-31
9205067,2024-04-01,2024-06-30
9205067,2024-04-01,2024-06-30
9206671,2023-01-01,2023-05-31
9206671,2023-01-01,2023-05-31
9207027,2023-03-01,2024-05-31
9208069,2024-04-01,2024-06-30
9208069,2024-04-01,2024-06-30
9208124,2023-01-01,2024-05-31
9209972,2023-04-01,2024-06-30
9211896,2023-03-01,2024-03-31
9211999,2023-11-01,2024-04-30
9212008,2023-11-01,2024-02-29
9213296,2024-04-01,2024-04-30
9213313,2023-08-01,2024-03-31
9213313,2023-08-01,2024-03-31
9215098,2024-02-01,2024-03-31
9217319,2023-10-01,2024-03-31
9217321,2023-03-01,2024-02-29
9218181,2023-10-01,2023-11-30
9220938,2023-01-01,2024-06-30
9222560,2024-02-01,2024-04-30
9224283,2023-02-01,2024-05-31
9224283,2023-02-01,2024-05-31
9224441,2023-09-01,2024-03-31
9224465,2023-09-01,2024-05-31
9227443,2023-12-01,2024-05-31
9228332,2023-04-01,2023-12-31
9229374,2023-01-01,2024-06-30
9229374,2023-01-01,2024-06-30
9230971,2023-08-01,2024-01-31
9230971,2023-08-01,2024-01-31
9231212,2023-05-01,2024-06-30
9231468,2023-08-01,2023-08-31
9231509,2024-03-01,2024-03-31
9231767,2024-04-01,2024-04-30
9232888,2023-09-01,2024-05-31
9232888,2023-09-01,2024-05-31
9232929,2024-03-01,2024-05-31
9232931,2024-03-01,2024-06-30
9233349,2023-02-01,2024-05-31
9233349,2023-02-01,2024-05-31
9233741,2023-01-01,2024-05-31
9233741,2023-01-01,2024-05-31
9233765,2024-03-01,2024-04-30
9234501,2024-02-01,2024-06-30
9234642,2023-09-01,2024-01-31
9234642,2023-09-01,2024-01-31
9235684,2023-05-01,2024-01-31
9235713,2023-01-01,2024-06-30
9235713,2023-01-01,2024-06-30
