vessel_imo,company_imo,role,start_date,end_date
8727941,5731768,ISM Manager,2016-07-12,2023-09-25
8727941,6021144,ISM Manager,2023-09-25,
8727941,5947073,Registered owner,2016-09-21,
8727941,5731768,Ship manager / Commercial manager,2013-05-27,2023-09-25
8727941,6021144,Ship manager / Commercial manager,2023-09-25,
8727953,5659333,ISM Manager,2020-02-17,2022-09-20
8727953,6072379,ISM Manager,2023-06-16,2023-11-30
8727953,6072379,ISM Manager,2023-12-01,
8727953,5659333,Registered owner,2018-01-22,
8727953,5659333,Ship manager / Commercial manager,2019-03-06,
8727965,5731768,ISM Manager,2019-04-23,2023-04-05
8727965,6021144,ISM Manager,2023-04-05,
8727965,5947073,Registered owner,2016-09-21,
8727965,5731768,Ship manager / Commercial manager,2013-05-08,2023-04-05
8727965,6021144,Ship manager / Commercial manager,2023-04-05,
8867179,5327250,ISM Manager,2021-11-26,2022-04-25
8867179,4234210,ISM Manager,2022-04-26,
8867179,6240580,Registered owner,2021-06-19,
8867179,6240580,Ship manager / Commercial manager,2021-06-19,
8906951,5563968,ISM Manager,2014-05-29,
8906951,5563968,Registered owner,2014-03-06,
8906951,5563968,Ship manager / Commercial manager,2014-03-06,
8914855,5138401,ISM Manager,2009-12-30,2023-08-31
8914855,6433370,ISM Manager,2024-03-19,
8914855,5138401,Registered owner,2009-11-10,
8914855,5138401,Ship manager / Commercial manager,2009-11-10,2023-08-31
8914855,6433370,Ship manager / Commercial manager,2023-08-31,
9004310,1739661,ISM Manager,2015-05-08,
9004310,5021637,Registered owner,2015-04-28,2023-02-14
9004310,6366674,Registered owner,2023-02-14,
9004310,5021637,Ship manager / Commercial manager,2015-04-28,2023-02-14
9004310,6366674,Ship manager / Commercial manager,2023-02-14,
9016870,5545171,ISM Manager,2020-11-16,
9016870,5545171,Registered owner,2020-10-12,
9016870,5545171,Ship manager / Commercial manager,2020-10-12,
9017666,1739661,ISM Manager,2010-07-19,
9017666,5021637,Registered owner,2010-06-11,
