vessel_imo,flag,start_date,end_date
8727941,Russia,1997-01-01,
8727953,Russia,1992-01-01,
8727965,Russia,1992-01-01,
8867179,Russia,1971-05-01,
8906951,Denmark (DIS),2011-06-01,2014-05-01
8906951,Russia,2014-05-01,
8914855,United Kingdom,2003-07-01,2010-02-01
8914855,Russia,2010-02-01,
9004310,Sierra leone,2015-04-01,2023-02-01
9004310,Togo,2023-02-01,
9016870,United Kingdom,2007-10-01,2007-10-01
9016870,Germany,2007-10-01,2020-11-01
9016870,Russia,2020-11-01,
9017666,Cayman Islands,2003-12-01,2010-06-01
9017666,Sierra leone,2010-06-01,2010-06-01
9017666,Sierra leone,2010-06-01,2022-09-01
9017666,Palau (Republic of),2022-09-01,2022-12-01
9017666,Togo,2022-12-01,2023-11-01
9017666,Not Known,2023-11-01,
9035541,Russia,2012-09-01,2017-06-01
9035541,Russia,2017-06-01,
9040077,Canada,2010-04-01,2020-08-01
9040077,Sierra leone,2020-08-01,2020-11-01
9040077,Russia,2020-11-01,
9046576,Russia,2012-06-01,2012-06-01
9046576,Germany,2012-06-01,2014-05-01
9046576,Russia,2014-05-01,
9056571,Norway (NIS),2006-01-01,2009-05-01
9056571,Panama,2009-05-01,2014-11-01
9056571,Russia,2014-11-01,2018-04-01
9056571,Russia,2018-04-01,
9063732,Russia,2019-03-01,
9104782,Russia,1996-01-01,
9105140,Russia,2018-11-01,2018-11-01
9105140,Germany,2018-11-01,2019-07-01
9105140,Cyprus,2019-07-01,2022-05-01
9105140,Russia,2022-05-01,
9114751,Liberia,2000-07-01,2008-01-01
9114751,Germany,2008-01-01,2009-06-01
9114751,Liberia,2009-06-01,2010-05-01
9114751,Portugal (MAR),2010-05-01,2010-05-01
9114751,Germany,2010-05-01,2020-07-01
9114751,Russia,2020-07-01,2020-07-01
9114751,Germany,2020-07-01,
9131357,Isle of Man,2008-06-01,2020-09-01
9131357,Cameroon,2020-09-01,
9133587,Greece,2001-01-01,2018-08-01
9133587,Palau (Republic of),2018-08-01,2018-10-01
9133587,Panama,2018-10-01,2020-03-01
9133587,Not Known,2020-03-01,2020-05-01
9133587,Cameroon,2020-05-01,2021-06-01
9133587,Cook islands,2021-06-01,2022-07-01
9133587,Tanzania,2022-07-01,2022-11-01
9133587,Not Known,2022-11-01,2023-04-01
9133587,Gabon,2023-04-01,
9137648,India,2015-11-01,2021-02-01
9137648,Cameroon,2021-02-01,2023-08-01
9137648,Palau (Republic of),2023-08-01,2024-04-01
9137648,Cook islands,2024-04-01,
9144782,Panama,2011-03-01,2011-09-01
9144782,Bangladesh,2011-09-01,2020-10-01
9144782,Cameroon,2020-10-01,2023-03-01
9144782,Cameroon,2023-03-01,
9163752,Panama,2022-03-01,2022-09-01
9163752,Russia,2022-09-01,
9166314,Russia,2019-07-01,
9168946,Bahamas,2009-04-01,2021-06-01
9168946,Liberia,2021-06-01,2021-12-01
9168946,Cameroon,2021-12-01,
9171175,Russia,2002-01-01,2005-01-01
9171175,Russia,2005-01-01,2006-05-01
9171175,Malta,2006-05-01,2011-12-01
9171175,Liberia,2011-12-01,2017-08-01
9171175,Russia,2017-08-01,2017-08-01
9171175,Cyprus,2017-08-01,2019-04-01
9171175,Russia,2019-04-01,2019-04-01
9171175,Cyprus,2019-04-01,2023-08-01
9171175,Russia,2023-08-01,
9171357,Malta,2000-06-01,2005-09-01
9171357,Greece,2005-09-01,2016-05-01
9171357,Malta,2016-05-01,2021-04-01
9171357,Gabon,2021-04-01,2023-08-01
9171357,Palau (Republic of),2023-08-01,2024-08-01
9171357,Not Known,2024-08-01,
9171735,Luxembourg,2003-01-01,2005-04-01
9171735,Marshall Islands,2005-04-01,2017-12-01
9171735,Cyprus,2017-12-01,2018-12-01
9171735,Russia,2018-12-01,2022-03-01
9171735,Liberia,2022-03-01,
9175078,Liberia,2002-06-01,2005-09-01
9175078,Germany,2005-09-01,2009-09-01
9175078,Germany,2009-09-01,2009-09-01
9175078,Liberia,2009-09-01,2014-02-01
9175078,Liberia,2014-02-01,2021-06-01
9175078,Panama,2021-06-01,
9183271,Norway (NIS),2000-02-01,2001-07-01
9183271,Liberia,2001-07-01,2012-03-01
9183271,Bahamas,2012-03-01,2021-02-01
9183271,Cameroon,2021-02-01,2024-08-01
9183271,St.Kitts and Nevis,2024-08-01,
9183295,Malta,2008-02-01,2020-08-01
9183295,Cameroon,2020-08-01,2023-03-01
9183295,Palau (Republic of),2023-03-01,2024-04-01
9183295,Cook islands,2024-04-01,
9183831,Isle of Man,2000-06-01,2000-06-01
9183831,Germany,2000-06-01,2012-05-01
9183831,Portugal (MAR),2012-05-01,2021-12-01
