vessel_imo,country,port,date,inspection_type,number_of_deficiencies,detention
8727941,Bulgaria,Varna,2010-08-12,Expanded inspection,9,N
8727941,Iran,Bandar Neka,2003-09-14,Initial inspection,0,N
8727941,Iran,Bandar Neka,2002-12-25,Initial inspection,1,N
8727953,Ukraine,Izmail,2021-09-15,More detailed inspection,0,N
8727953,Bulgaria,Burgas,2019-05-09,Expanded inspection,2,N
8727953,,,2019-05-09,Expanded inspection,2,
8727953,Romania,Constanta,2018-09-24,Expanded inspection,7,Y
8727953,,,2018-09-24,Expanded inspection,7,
8727953,Greece,Piraeus,2017-09-12,More detailed inspection,16,Y
8727953,Romania,Constanta,2008-05-07,Expanded inspection,9,N
8727953,Iran,Bandar Neka,2004-11-01,Initial inspection,0,N
8727953,Iran,Bandar Neka,2004-04-13,Initial inspection,0,N
8727953,Germany,Bremerhaven,1998-02-12,,0,N
8727965,Turkey,Kocaeli,2024-02-02,More detailed inspection,13,N
8727965,Turkey,Kocaeli,2023-07-31,More detailed inspection,5,N
8727965,Georgia,Batumi,2021-12-04,More detailed inspection,4,N
8727965,Romania,Constanta,2016-05-12,Expanded inspection,4,N
8727965,Bulgaria,Varna-Zapad,2011-01-25,Expanded inspection,3,N
8727965,Iran,Bandar Neka,2004-04-07,Initial inspection,0,N
8727965,Iran,Bandar Neka,2004-01-17,Initial inspection,0,N
8727965,Iran,Bandar Neka,2002-12-24,Initial inspection,3,N
8867179,Greece,Piraeus,2010-08-31,Expanded inspection,21,N
8867179,Romania,Midia,2009-02-18,Expanded inspection,9,N
8867179,Romania,Constanta,2008-11-26,More detailed inspection,8,N
8867179,Belgium,Antwerp,2007-12-15,Expanded inspection,15,N
8867179,Estonia,Tallinn,2007-06-04,More detailed inspection,1,N
8867179,Latvia,Riga,2006-12-02,Expanded inspection,2,N
8867179,Estonia,Kunda,2006-05-16,More detailed inspection,3,N
8867179,Germany,Hamburg,2005-11-21,Expanded inspection,3,N
8867179,Iran,Bandar Neka,2004-02-05,Initial inspection,2,N
8867179,Belgium,Antwerp,2000-07-27,,0,N
8906951,Korea (Republic of),Gunsan,2019-11-26,Initial inspection,1,N
8906951,France,Le havre,2005-02-08,More detailed inspection,2,N
8906951,Bulgaria,Burgas,2014-07-10,More detailed inspection,0,N
8906951,France,Donges,2004-07-23,Initial inspection,0,N
8906951,Sweden,Göteborg,2013-05-21,More detailed inspection,0,N
8906951,France,Donges,2004-04-27,Initial inspection,1,N
8906951,Russia,Kaliningrad,2011-12-23,Initial inspection,0,N
8906951,France,Donges,2003-09-29,Initial inspection,0,N
8906951,Norway,Aalesund,2010-07-13,More detailed inspection,0,N
8906951,United Kingdom,Eastham,2003-03-26,Initial inspection,0,N
8906951,Norway,Oslo,2010-02-24,More detailed inspection,0,N
8906951,Norway,Bergen,2001-11-20,Initial inspection,0,N
8906951,Norway,Mongstad,2009-10-07,Initial inspection,0,N
8906951,Netherlands,Rotterdam,2001-02-22,,0,N
8906951,Norway,Aalesund,2009-02-24,Expanded inspection,0,N
8906951,Netherlands,Rotterdam,2000-04-25,,0,N
8906951,Norway,Tromsø,2008-11-26,Initial inspection,0,N
8906951,United Kingdom,Southampton,1999-08-04,,0,N
8906951,Norway,Oslo,2008-09-03,Initial inspection,0,N
8906951,United Kingdom,Cardiff,1998-09-13,,0,N
8906951,Norway,Oslo,2008-02-12,Expanded inspection,2,N
8906951,Denmark,Fredericia,2007-08-13,Initial inspection,0,N
8906951,Denmark,Fredericia,2007-06-15,Initial inspection,1,N
8906951,Denmark,Fredericia,2006-10-31,Expanded inspection,0,N
8906951,Denmark,Copenhagen,2006-03-29,Initial inspection,0,N
8906951,Germany,Hamburg,2005-08-28,Initial inspection,0,N
8906951,United Kingdom,Fawley,2005-08-02,Initial inspection,6,N
8914855,China Peoples's Republic,Zhoushan,2015-05-19,Initial inspection,8,N
8914855,China Peoples's Republic,Nantong,2001-10-30,,0,N
8914855,Iran,Bushire(Bushehr),2009-09-16,Initial inspection,0,N
8914855,United States of America,Dendermonde,2001-08-29,,0,N
8914855,Netherlands,Rotterdam,2008-10-01,Expanded inspection,4,N
8914855,United States of America,MSO Providence,2001-08-29,,0,N
8914855,United States of America,"New Haven, Connecticut",2008-06-07,Standard Examination,1,N
8914855,United States of America,MSO Houston- Galveston,2001-04-20,,0,N
8914855,Russia,Kaliningrad,2007-10-23,Initial inspection,0,N
8914855,United States of America,Dendermonde,2001-02-09,,0,N
8914855,Netherlands,Rotterdam,2007-03-29,Expanded inspection,1,N
8914855,Belgium,Ghent,2000-08-30,,1,N
8914855,United States of America,"New York, New York",2006-07-25,Standard Examination,0,N
8914855,Canada,Montreal,2000-08-17,,4,N
8914855,Netherlands,Rotterdam,2006-04-21,More detailed inspection,0,N
8914855,United States of America,MSO Philadelphia,2000-07-09,,0,N
8914855,Netherlands,Rotterdam,2005-08-01,Expanded inspection,0,N
8914855,United States of America,MSD Massena,2000-06-17,,0,N
8914855,United States of America,Philadelphia (Capt. of the port),2003-10-24,,0,N
8914855,Netherlands,Rotterdam,2000-02-14,,8,N
8914855,United States of America,MSO San Francisco,2003-09-22,,3,N
8914855,United States of America,MSU Galveston,1999-11-19,,1,N
8914855,,,2003-05-01,,0,N
8914855,United States of America,MSO Port Arthur,1999-07-31,,0,N
8914855,Netherlands,Vlaardingen,2003-03-12,More detailed inspection,5,N
8914855,United States of America,MIO New York,1999-07-03,,2,N
8914855,United States of America,MSFO Portsmouth,2002-09-20,,0,N
8914855,Netherlands,Rotterdam,1999-04-01,,0,N
8914855,Netherlands,Terneuzen,2002-09-04,Initial inspection,1,N
8914855,Norway,Kristiansund,1998-09-09,,0,N
8914855,United States of America,New York (Capt. of the port),2002-06-20,,0,N
8914855,Norway,Kristiansund,1998-03-03,,0,N
9004310,China Peoples's Republic,Jiaxing,2023-08-21,Follow-up inspection,0,N
9004310,,,2023-08-21,Initial inspection,3,
9004310,China Peoples's Republic,Nantong,2013-09-05,Initial inspection,7,N
9004310,Australia,Kwinana,2004-05-09,Initial inspection,0,N
9004310,China Peoples's Republic,Jiaxing,2023-08-17,Follow-up inspection,0,N
9004310,Russia,Vostochny,2019-12-05,Follow-up inspection,0,N
9004310,China Peoples's Republic,Ningbo,2013-03-20,Initial inspection,3,N
9004310,,,2003-09-16,,0,N
9004310,China Peoples's Republic,Jiaxing,2023-08-12,Initial inspection,9,Y
9004310,,,2023-08-12,Initial inspection,4,
9004310,,,2012-05-30,,0,N
9004310,Vietnam,Haiphong,2000-05-30,,0,N
9004310,Russia,Vanimo,2023-06-23,Follow-up inspection,0,N
9004310,Korea (Republic of),Ulsan,2019-06-12,Initial inspection,4,N
9004310,,,2012-04-27,,0,N
9004310,Netherlands,Rotterdam,1999-01-13,,4,N
9004310,Russia,Vanimo,2023-05-24,Follow-up inspection,0,N
9004310,Russia,Posyet,2019-03-18,Follow-up inspection,0,N
9004310,,,2012-04-20,,0,N
9004310,,,2012-04-20,Initial inspection,4,
9004310,Russia,Slavyanka,2019-03-18,Initial inspection,2,N
9004310,,,2011-10-25,,0,N
9004310,Russia,Vladivostok,2023-02-22,Follow-up inspection,0,N
9004310,Russia,Nakhodka,2018-12-01,Initial inspection,5,N
9004310,Germany,Wilhelmshaven,2011-07-04,Expanded inspection,0,N
9004310,,,2011-07-04,Initial inspection,5,
9004310,Russia,Vladivostok,2018-07-03,Initial inspection,3,N
9004310,Netherlands,Rotterdam,2010-08-16,Expanded inspection,0,N
9004310,Russia,Vladivostok,2022-04-20,Follow-up inspection,0,N
9004310,Russia,Slavyanka,2018-03-22,Initial inspection,3,N
9004310,Belgium,Ghent,2010-05-06,Initial inspection,0,N
9004310,Russia,Vladivostok,2022-04-19,Initial inspection,3,N
9004310,Russia,Slavyanka,2017-12-28,Initial inspection,1,N
9004310,Norway,Aalesund,2009-08-13,Expanded inspection,0,N
9004310,Russia,Vladivostok,2021-11-19,Follow-up inspection,0,N
9004310,Russia,Slavyanka,2017-06-27,Initial inspection,2,N
9004310,Ireland,Cork,2009-03-10,Initial inspection,0,N
9004310,,,2009-03-10,Initial inspection,3,
9004310,China Peoples's Republic,Zhoushan,2015-05-29,Initial inspection,9,N
9004310,France,Rouen,2008-08-06,Expanded inspection,0,N
9004310,Russia,Vladivostok,2021-05-25,Follow-up inspection,0,N
9004310,Korea (Republic of),Busan,2015-03-11,Initial inspection,8,N
9004310,Germany,Hamburg,2008-02-04,Initial inspection,1,N
9004310,Russia,Vladivostok,2021-05-24,Initial inspection,4,N
9004310,China Peoples's Republic,Huizhou,2014-11-04,Initial inspection,1,N
9004310,Latvia,Riga,2007-08-02,Expanded inspection,2,N
9004310,Russia,Vladivostok,2020-12-15,Follow-up inspection,0,N
9004310,China Peoples's Republic,Humen,2014-08-06,Follow-up inspection,3,N
9004310,Netherlands,Rotterdam,2007-02-05,More detailed inspection,0,N
9004310,Russia,Vladivostok,2020-12-14,Initial inspection,3,N
9004310,China Peoples's Republic,Humen,2014-07-25,Initial inspection,3,N
9004310,France,Le havre,2007-01-16,More detailed inspection,3,N
9004310,Russia,Slavyanka,2020-05-28,Initial inspection,2,N
9004310,China Peoples's Republic,Huizhou,2014-05-21,Initial inspection,4,N
9004310,Netherlands,Terneuzen,2006-09-05,Initial inspection,3,N
9004310,,,2006-09-05,Follow-up inspection,0,
9004310,China Peoples's Republic,Nantong,2014-02-20,Initial inspection,3,N
9004310,Netherlands,Rotterdam,2006-02-28,Expanded inspection,8,N
9004310,Netherlands,Vlissingen,2005-08-24,More detailed inspection,2,N
9004310,Netherlands,Terneuzen,2005-02-01,Initial inspection,0,N
9004310,Italy,Brindisi,2004-12-19,Expanded inspection,12,N
9016870,Spain,Bilbao,2020-08-05,Expanded inspection,0,N
9016870,Netherlands,Rotterdam,2009-10-20,Initial inspection,2,N
9016870,Netherlands,Rotterdam,2001-02-07,,0,N
9016870,France,Rouen,2018-07-30,Expanded inspection,0,N
9016870,Australia,Melbourne,2009-07-13,Initial inspection,7,N
9016870,Germany,Emden,2000-07-31,,0,N
9016870,Germany,Hamburg,2017-09-06,Expanded inspection,0,N
9016870,Germany,Hamburg,2009-02-05,Expanded inspection,0,N
9016870,Italy,Napoli,2000-04-06,,2,N
9016870,France,Rouen,2016-10-13,Expanded inspection,1,N
9016870,Germany,Butzfleth,2008-09-01,Initial inspection,3,N
9016870,Italy,Porto torres,1999-08-18,,0,N
9016870,Netherlands,Rotterdam,2015-12-01,Expanded inspection,0,N
9016870,Ireland,Foynes,2008-02-11,More detailed inspection,0,N
9016870,Netherlands,Rotterdam,1998-12-18,,0,N
9016870,Morocco,Mohammedia,2015-11-10,Initial inspection,0,N
9016870,Germany,Hamburg,2007-12-17,Expanded inspection,4,N
9016870,Germany,Brunsbuttel,1998-07-13,,5,N
9016870,Germany,Hamburg,2014-12-04,More detailed inspection,2,N
9016870,Italy,Augusta,2007-08-28,Initial inspection,0,N
9016870,Netherlands,Rotterdam,1998-03-03,,6,N
9016870,Netherlands,Rotterdam,2014-09-02,Expanded inspection,0,N
9016870,France,Marseille,2006-11-02,Expanded inspection,0,N
9016870,Spain,Bilbao,2013-08-29,Expanded inspection,0,N
9016870,Portugal,Sines,2006-07-20,Initial inspection,0,N
9016870,Germany,Hamburg,2012-10-16,Expanded inspection,4,N
9016870,France,Marseille,2006-01-10,Initial inspection,0,N
9016870,Germany,Hamburg,2011-12-13,Expanded inspection,0,N
9016870,Portugal,Sines,2005-11-29,Initial inspection,0,N
9016870,Netherlands,Rotterdam,2011-02-12,Expanded inspection,0,N
9016870,Belgium,Antwerp,2005-05-23,Expanded inspection,1,N
9016870,Spain,Cartagena,2010-10-13,More detailed inspection,5,N
9016870,Germany,Butzfleth,2004-11-16,Initial inspection,1,N
9016870,Ireland,Foynes,2010-04-12,Initial inspection,0,N
9016870,Spain,Ceuta,2004-05-06,Expanded inspection,1,N
9016870,Germany,Hamburg,2010-02-25,Initial inspection,2,N
9016870,Spain,Cartagena,2004-03-05,Initial inspection,4,N
9016870,Norway,Fredrikstad,2010-02-06,Expanded inspection,8,N
9016870,France,Martigues,2003-03-26,Initial inspection,0,N
9016870,Belgium,Antwerp,2010-01-28,More detailed inspection,2,N
9016870,Netherlands,Rotterdam,2003-01-02,Initial inspection,7,N
9016870,France,Le havre,2010-01-23,More detailed inspection,7,N
9016870,Italy,Augusta,2001-10-31,Initial inspection,0,N
9016870,United States of America,MSU Galveston,2001-09-01,,0,N
9016870,United States of America,MSO Hampton Roads,2001-08-24,,1,N
9017666,Russia,Vladivostok,2022-09-20,Follow-up inspection,0,N
9017666,,,2022-09-20,Initial inspection,3,
9017666,United States of America,"Corpus Christi, Texas",2010-01-06,Standard Examination,0,N
9017666,United States of America,MSO Houston- Galveston,1999-05-03,,4,N
9017666,Russia,Vladivostok,2022-09-16,Initial inspection,5,N
9017666,Russia,Nakhodka,2017-12-29,Initial inspection,5,N
9017666,United States of America,"Houston, Texas",2009-01-06,Standard Examination,0,N
9017666,Russia,Vladivostok,2022-03-29,Follow-up inspection,0,N
9017666,Russia,Slavyanka,2017-08-07,Initial inspection,3,N
9017666,United States of America,"Houston, Texas",2008-12-15,Standard Examination,0,N
9017666,Russia,Vladivostok,2022-03-28,Initial inspection,4,N
9017666,Russia,Slavyanka,2017-05-25,Follow-up inspection,0,N
9017666,United States of America,"Houston, Texas",2008-01-05,Standard Examination,1,N
9017666,Russia,Vladivostok,2021-09-08,Follow-up inspection,0,N
9017666,,,2021-09-08,Initial inspection,3,
9017666,Spain,Santander,2007-05-08,Initial inspection,0,N
9017666,,,2007-05-08,Initial inspection,4,
9017666,Russia,Nakhodka,2017-03-09,Follow-up inspection,0,N
9017666,France,Rouen,2006-07-06,Expanded inspection,2,N
9017666,Russia,Slavyanka,2021-04-29,Initial inspection,2,N
9017666,Russia,Nakhodka,2017-01-29,Initial inspection,4,N
9017666,United States of America,"Corpus Christi, Texas",2006-03-17,Standard Examination,2,N
9017666,Russia,Nakhodka,2020-11-05,Initial inspection,3,N
9017666,Russia,Nakhodka,2015-11-25,Initial inspection,0,N
9017666,United States of America,"Port Lavaca, Texas",2005-04-11,Standard Examination,0,N
9017666,Russia,Nakhodka,2020-06-28,Follow-up inspection,0,N
9017666,Russia,Slavyanka,2015-03-26,Initial inspection,4,N
9017666,United States of America,"Lake Charles, Louisiana",2005-01-21,Standard Examination,0,N
9017666,,,2005-01-21,Initial inspection,3,
9017666,Russia,Slavyanka,2014-07-21,Initial inspection,3,N
9017666,United States of America,MSO Houston- Galveston,2004-03-24,,0,N
9017666,Russia,Vostochny,2020-03-26,Follow-up inspection,0,N
9017666,Russia,Vladivostok,2013-12-26,Follow-up inspection,3,N
9017666,United States of America,Houston (Capt. of the port),2003-04-01,,0,N
9017666,,,2003-04-01,Initial inspection,2,
9017666,Russia,Vladivostok,2013-12-25,Initial inspection,2,N
9017666,United States of America,Houston (Capt. of the port),2002-03-31,,0,N
9017666,Russia,Vostochny,2019-11-27,Initial inspection,4,N
9017666,Russia,Slavyanka,2013-09-17,Initial inspection,2,N
9017666,United States of America,MSO Houston- Galveston,2001-04-30,,0,N
9017666,Russia,Vladivostok,2019-05-31,Initial inspection,3,N
9017666,Russia,Slavyanka,2013-06-24,Initial inspection,2,N
9017666,United States of America,MSO Houston- Galveston,2000-04-17,,0,N
9017666,Russia,Slavyanka,2018-12-14,Initial inspection,3,N
9017666,Russia,Slavyanka,2013-06-03,Follow-up inspection,2,N
9017666,United States of America,MSSO Brownsville,2000-03-25,,0,N
9017666,Russia,Slavyanka,2018-09-05,Initial inspection,4,N
9017666,Russia,Sovetskaya Gavan,2013-05-19,Initial inspection,2,N
9017666,Russia,Vladivostok,2018-06-04,Follow-up inspection,0,N
9017666,,,2012-11-19,,0,N
9017666,,,2012-11-19,Initial inspection,3,
9017666,,,2012-05-11,,0,N
9017666,,,2012-05-11,Follow-up inspection,0,
9017666,,,2011-12-31,,0,N
9017666,,,2011-12-30,,0,N
9017666,,,2011-11-12,,0,N
9017666,,,2011-05-27,,0,N
9017666,,,2011-04-22,,0,N
9017666,,,2010-07-30,,0,N
9035541,Turkey,Tekirdag,2024-08-29,More detailed inspection,3,N
9035541,Belgium,Ghent,2002-09-18,Initial inspection,2,N
9035541,Georgia,Batumi,2021-12-14,More detailed inspection,3,N
9035541,Poland,Gdynia,2001-11-07,Initial inspection,0,N
9035541,Iran,Bandar Anzali,2019-03-14,Initial inspection,7,N
9035541,Denmark,Copenhagen,2001-08-01,Initial inspection,5,N
9035541,Bulgaria,Varna,2013-09-16,Expanded inspection,0,N
9035541,Poland,Gdynia,2000-12-20,,1,N
9035541,Netherlands,Amsterdam,2007-08-14,Expanded inspection,7,N
9035541,Germany,Bremen,1999-07-27,,3,N
9035541,United Kingdom,Liverpool,2007-05-31,More detailed inspection,3,N
9035541,Portugal,Lisboa,1999-02-15,,0,N
9035541,Poland,Gdynia,2006-10-19,Initial inspection,0,N
9035541,Russia,Kaliningrad,1998-08-20,,0,N
9035541,France,Bordeaux,2006-10-06,Initial inspection,7,N
9035541,France,Brest,2006-10-04,More detailed inspection,6,N
9035541,Belgium,Ghent,2006-06-01,More detailed inspection,3,N
9035541,Belgium,Ghent,2005-10-06,More detailed inspection,2,N
9035541,Spain,Ceuta,2005-02-24,Initial inspection,0,N
9035541,United Kingdom,Newcastle,2005-02-07,More detailed inspection,8,N
9035541,Portugal,Leixões,2004-03-25,Initial inspection,2,N
9035541,France,Rouen,2003-09-05,Initial inspection,0,N
9035541,Netherlands,Rotterdam,2003-08-12,Initial inspection,7,N
9035541,Portugal,Lisboa,2003-02-04,Initial inspection,5,N
9040077,Canada,Montreal,2020-09-02,Expanded inspection,17,Y
9040077,United States of America,"Portland, Maine",2010-06-30,Standard Examination,0,N
9040077,United States of America,"Buffalo, New York",2008-09-05,Standard Examination,0,N
9040077,United States of America,"Searsport, Maine",2008-04-28,Standard Examination,0,N
9040077,United States of America,"Buffalo, New York",2007-09-26,Standard Examination,0,N
9040077,United States of America,"Boston, Massachusets",2007-02-11,Standard Examination,1,N
9040077,United States of America,"Searsport, Maine",2005-08-08,Standard Examination,0,N
9040077,United States of America,MSO Boston,2002-04-01,,0,N
9040077,United States of America,MSD Massena,2001-09-12,,0,N
9040077,United States of America,MSO Port Arthur,2000-04-10,,0,N
9040077,United States of America,MSO Philadelphia,2000-01-26,,2,N
9040077,United States of America,MSD Massena,1999-05-03,,0,N
9046576,China Peoples's Republic,Jiaxing,2023-01-11,Initial inspection,3,N
9046576,Finland,Turku,2003-08-07,Initial inspection,0,N
9046576,Korea (Republic of),Busan,2017-10-23,Initial inspection,8,N
9046576,Finland,Turku,2003-02-24,Initial inspection,0,N
9046576,Vietnam,Haiphong,2017-01-10,Initial inspection,2,N
9046576,France,Le havre,2002-05-17,Initial inspection,0,N
9046576,Russia,Kaliningrad,2012-07-17,Expanded inspection,0,N
9046576,Finland,Skoldvik,2002-03-20,Initial inspection,9,N
9046576,Norway,Oslo,2010-07-09,Initial inspection,0,N
9046576,Germany,Bremen,2001-08-28,Initial inspection,2,N
9046576,Sweden,Brofjorden,2009-12-26,Expanded inspection,2,N
9046576,Sweden,Göteborg,2001-04-04,,0,N
9046576,Estonia,Paldiski Lõunasadam,2009-06-10,Initial inspection,0,N
9046576,Norway,Aalesund,2000-08-30,,0,N
9046576,Latvia,Riga,2008-12-18,Expanded inspection,2,N
9046576,Netherlands,Rotterdam,1999-08-13,,0,N
9046576,Sweden,Stockholm,2008-10-01,Initial inspection,0,N
9046576,Canada,St johns,1998-10-15,,0,N
9046576,Sweden,Göteborg,2008-08-04,More detailed inspection,6,N
9046576,Latvia,Riga,2007-11-26,Expanded inspection,0,N
9046576,Estonia,Muuga,2007-07-02,Initial inspection,0,N
9046576,Norway,Bodo,2007-01-05,Initial inspection,0,N
9046576,Sweden,Brofjorden,2006-11-22,Initial inspection,0,N
9046576,Denmark,Copenhagen,2006-09-21,Expanded inspection,2,N
9046576,Russia,Kaliningrad,2005-12-23,More detailed inspection,6,N
9046576,Poland,Gdansk,2004-06-07,Initial inspection,0,N
9046576,France,Rouen,2003-11-23,Initial inspection,0,N
9056571,Korea (Republic of),Gunsan,2023-04-04,Initial inspection,7,N
9056571,Russia,Murmansk,2004-02-14,Initial inspection,0,N
9056571,China Peoples's Republic,Jiaxing,2022-04-04,Initial inspection,4,N
9056571,Poland,Gdynia,2003-04-22,Initial inspection,0,N
9056571,Vietnam,Ho Chi Minh City,2016-09-23,Initial inspection,0,N
9056571,Netherlands,Rotterdam,2002-11-18,Initial inspection,7,N
9056571,Spain,Las palmas,2012-12-07,Expanded inspection,17,N
9056571,Denmark,Fredericia,2001-11-21,Initial inspection,0,N
9056571,Sweden,Göteborg,2009-01-07,Expanded inspection,0,N
9056571,United Kingdom,Middlesbrough,2001-10-10,Initial inspection,3,N
9056571,Latvia,Liepaja,2008-08-12,Initial inspection,0,N
9056571,Sweden,Brofjorden,2000-09-19,,0,N
9056571,Finland,Vaasa,2007-12-15,Expanded inspection,3,N
9056571,Germany,Brunsbuttel,2000-07-06,,1,N
9056571,Latvia,Liepaja,2007-10-15,Initial inspection,0,N
9056571,Germany,Hamburg,2000-03-22,,3,Y
9056571,Sweden,Malmö,2007-02-12,Initial inspection,0,N
9056571,Sweden,Husum (sweden),1999-03-05,,0,N
9056571,Sweden,Brofjorden,2006-11-24,More detailed inspection,1,N
9056571,Netherlands,Rotterdam,1998-01-06,,0,N
9056571,Netherlands,Rotterdam,2006-11-21,Expanded inspection,10,N
9056571,France,La rochelle,2006-05-04,Initial inspection,2,N
9056571,Germany,Brunsbuttel,2006-01-03,More detailed inspection,8,N
9056571,Sweden,Göteborg,2005-11-14,Initial inspection,0,N
9056571,United Kingdom,Belfast,2005-11-01,More detailed inspection,5,N
