vessel_imo,mmsi,start_date,end_date
8727941,273344600,2012-10-16 00:19:03+00:00,2024-08-31 03:20:51+00:00
8727953,273343600,2012-06-03 19:25:22+00:00,2024-08-31 23:43:53+00:00
8727965,273346700,2024-07-26 10:05:31+00:00,2024-08-31 23:37:03+00:00
8867179,273349300,2012-10-19 13:29:29+00:00,2024-08-29 12:54:24+00:00
8906951,273326750,2014-04-08 15:08:44+00:00,2024-08-07 06:29:00+00:00
8914855,273342530,2018-04-04 01:18:40+00:00,2024-08-31 22:20:28+00:00
9004310,667001361,2015-04-30 04:02:57+00:00,2023-02-16 03:45:50+00:00
9016870,273213390,2020-11-09 09:43:03+00:00,2024-08-31 22:08:04+00:00
9017666,671384100,2022-12-15 05:53:37+00:00,2024-08-15 15:26:39+00:00
9035541,273351980,2023-05-29 13:35:42+00:00,2024-08-31 23:59:45+00:00
9040077,273215290,2020-11-14 04:47:22+00:00,2024-08-31 01:44:32+00:00
9046576,273352470,2012-07-24 20:07:29+00:00,2024-08-31 19:07:04+00:00
9056571,273378220,2014-11-24 21:01:52+00:00,2024-08-31 14:15:50+00:00
9063732,273324700,2012-01-22 12:37:31+00:00,2024-08-31 23:55:18+00:00
9104782,273410020,2012-05-06 16:43:30+00:00,2024-08-31 23:50:01+00:00
9105140,273432830,2018-12-29 12:15:41+00:00,2024-08-28 04:13:25+00:00
9114751,273216560,2020-07-04 18:13:31+00:00,2024-08-31 23:18:31+00:00
9131357,235064647,2012-01-06 03:54:27+00:00,2020-09-26 09:56:24+00:00
9133587,239770000,2012-01-19 06:18:12+00:00,2018-08-14 08:23:34+00:00
9137648,419001092,2015-11-27 01:16:13+00:00,2021-01-16 07:40:32+00:00
9144782,405000105,2012-11-10 17:00:02+00:00,2020-10-25 04:35:56+00:00
9163752,273611640,2022-09-29 05:34:31+00:00,2024-08-31 05:30:50+00:00
9166314,273453790,2019-08-07 15:52:39+00:00,2024-08-31 23:19:59+00:00
9168946,311020200,2012-01-03 20:44:19+00:00,2021-06-03 09:08:51+00:00
9171175,273436640,2023-01-31 07:26:17+00:00,2024-08-31 23:44:23+00:00
9171357,248754000,2016-05-23 02:42:36+00:00,2021-03-29 04:25:52+00:00
9171735,636021677,2022-11-23 09:01:29+00:00,2024-08-10 08:32:40+00:00
9175078,636016323,2014-10-25 14:40:50+00:00,2021-06-15 04:58:41+00:00
9183271,311067800,2012-03-09 01:34:51+00:00,2021-02-13 20:59:49+00:00
9183295,249116000,2012-01-01 01:50:00+00:00,2020-08-31 11:32:57+00:00
9183831,255804890,2012-05-21 11:15:13+00:00,2021-12-07 07:22:53+00:00
9185528,241494000,2017-11-24 16:03:36+00:00,2020-09-30 20:39:03+00:00
9186625,636017312,2016-01-28 17:30:08+00:00,2019-10-20 06:55:54+00:00
9187227,636016587,2014-07-31 09:51:43+00:00,2020-09-17 07:24:51+00:00
9189146,247271800,2012-01-13 15:47:06+00:00,2019-12-07 05:40:30+00:00
9194012,273435910,2021-11-03 10:49:11+00:00,2024-08-31 23:59:03+00:00
9194983,419001240,2017-01-27 09:37:49+00:00,2021-01-25 10:09:24+00:00
9194995,319099700,2016-07-01 03:16:53+00:00,2021-11-08 07:00:38+00:00
9198290,248595000,2012-01-07 23:32:44+00:00,2019-04-01 09:55:01+00:00
9198783,273610900,2023-01-29 17:08:57+00:00,2024-08-31 09:07:40+00:00
